contestant_id,season_number,age,age_n,hometown_city,hometown_state,Lat,Lng,Wins,Wins_n,High,High_n,Safe,Safe_n,Low,Low_n,Bottom,Bottom_n,Number_of_Episodes,season_outcome,Label
19,2,21,-1.0,Falls Church,Virginia,38.8847,-77.1751,1,-0.44444444444444453,1,-0.6666666666666667,5,0.4814814814814816,0,-1.0,1,-0.6666666666666667,9,4,2
20,2,37,0.032258064516129004,Rochester,New York,43.168,-77.6162,0,-1.0,4,0.33333333333333326,1,-0.7037037037037037,2,-0.11111111111111116,0,-1.0,9,5,2
21,2,21,-1.0,Orlando,Florida,28.4772,-81.3369,3,0.4999999999999998,4,0.20000000000000018,1,-0.7333333333333334,1,-0.6,0,-1.0,10,1,1
22,3,34,-0.16129032258064513,Norwalk,California,33.9069,-118.0829,0,-1.0,1,-0.5714285714285714,3,0.1428571428571428,0,-1.0,2,-0.1428571428571429,7,7,3
23,3,25,-0.7419354838709677,Elmwood Park,New Jersey,40.905,-74.1201,0,-1.0,1,-0.7,3,-0.20000000000000007,3,0.19999999999999996,1,-0.7,10,5,2
24,3,29,-0.4838709677419355,Atlanta,Georgia,33.7627,-84.4224,0,-1.0,0,-1.0,1,0.33333333333333326,0,-1.0,0,-1.0,2,12,4
25,3,28,-0.5483870967741935,New York,New York,40.6943,-73.9249,3,0.15384615384615374,4,-0.07692307692307687,3,-0.3846153846153846,1,-0.6923076923076923,1,-0.7692307692307692,13,2,1
26,3,25,-0.7419354838709677,Fayetteville,North Carolina,35.0846,-78.9776,1,-0.16666666666666674,2,0.0,1,-0.5555555555555556,0,-1.0,1,-0.5,6,8,3
27,3,26,-0.6774193548387097,Los Angeles,California,34.1139,-118.4068,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,13,4
28,3,26,-0.6774193548387097,Manati,Puerto Rico,18.4283,-66.4823,1,-0.6153846153846154,4,-0.07692307692307687,4,-0.1794871794871794,1,-0.6923076923076923,1,-0.7692307692307692,13,4,2
29,3,29,-0.4838709677419355,Atlanta,Georgia,33.7627,-84.4224,0,-1.0,1,-0.3999999999999999,1,-0.4666666666666667,2,0.6000000000000001,0,-1.0,5,9,3
30,3,30,-0.4193548387096774,St. Petersburg,Florida,27.7931,-82.6652,3,0.15384615384615374,2,-0.5384615384615384,3,-0.3846153846153846,1,-0.6923076923076923,3,-0.3076923076923076,13,3,1
31,3,23,-0.8709677419354839,Dayton,Ohio,39.7797,-84.1998,0,-1.0,0,-1.0,2,0.33333333333333326,0,-1.0,1,-0.25,4,10,4
32,3,27,-0.6129032258064516,New York,New York,40.6943,-73.9249,0,-1.0,2,1.0,0,-1.0,0,-1.0,0,-1.0,3,11,4
33,3,36,-0.032258064516129004,Los Angeles,California,34.1139,-118.4068,3,0.15384615384615374,4,-0.07692307692307687,3,-0.3846153846153846,1,-0.6923076923076923,1,-0.7692307692307692,13,1,1
34,3,29,-0.4838709677419355,Los Angeles,California,34.1139,-118.4068,2,0.0,1,-0.7,3,-0.20000000000000007,1,-0.6,2,-0.3999999999999999,10,6,2
